frame_no,rel_time,src,dst,srcport,dstport,proto,length,tcp_stream,seq,ack,win,flags,is_retx,is_ooo,is_ka,is_zerowin,opcua_type,opcua_service,opcua_reqid,opcua_seq,opcua_chunk
1868,2025-08-12 15:27:09.261947,192.168.159.198,192.168.159.241,4840,63051,TCP,1514,63,6005,497,8192,,0,0,0,0,,,,,
1869,2025-08-12 15:27:09.261947,192.168.159.198,192.168.159.241,4840,63051,TCP,946,63,7465,497,8192,,0,0,0,0,,,,,
1870,2025-08-12 15:27:09.262015,192.168.159.241,192.168.159.198,63051,4840,TCP,54,63,497,8357,65535,,0,0,0,0,,,,,
1871,2025-08-12 15:27:09.269916,192.168.159.198,192.168.159.241,4840,63051,TCP,1514,63,8357,497,8192,,0,0,0,0,,,,,
1872,2025-08-12 15:27:09.269916,192.168.159.198,192.168.159.241,4840,63051,TCP,1430,63,9817,497,8192,,0,0,0,0,,,,,
1873,2025-08-12 15:27:09.270006,192.168.159.241,192.168.159.198,63051,4840,TCP,54,63,497,11193,65535,,0,0,0,0,,,,,
1874,2025-08-12 15:27:09.279425,192.168.159.241,192.168.159.198,63051,4840,TCP,171,63,497,11193,65535,,0,0,0,0,,,,,
1875,2025-08-12 15:27:09.293696,192.168.159.198,192.168.159.241,4840,63051,TCP,106,63,11193,614,8192,,0,0,0,0,,,,,
1876,2025-08-12 15:27:09.299746,192.168.159.241,192.168.159.198,63051,4840,TCP,7354,63,614,11245,65483,,0,0,0,0,,,,,
1877,2025-08-12 15:27:09.306776,192.168.159.198,192.168.159.241,4840,63051,TCP,60,63,11245,3534,6732,,0,0,0,0,,,,,
1878,2025-08-12 15:27:09.306848,192.168.159.241,192.168.159.198,63051,4840,TCP,1514,63,7914,11245,65483,,0,0,0,0,,,,,
1879,2025-08-12 15:27:09.311780,192.168.159.198,192.168.159.241,4840,63051,TCP,60,63,11245,6454,3812,,0,0,0,0,,,,,
1880,2025-08-12 15:27:09.316803,192.168.159.198,192.168.159.241,4840,63051,TCP,60,63,11245,9374,892,,0,0,0,0,,,,,
1881,2025-08-12 15:27:09.316803,192.168.159.198,192.168.159.241,4840,63051,TCP,60,63,11245,9374,0,,0,0,0,0,,,,,
1882,2025-08-12 15:27:09.379373,192.168.159.241,192.168.159.198,63052,4840,TCP,66,64,0,0,65535,,0,0,0,0,,,,,
1883,2025-08-12 15:27:09.381782,192.168.159.198,192.168.159.241,4840,63052,TCP,60,64,0,1,8192,,0,0,0,0,,,,,
1884,2025-08-12 15:27:09.381967,192.168.159.241,192.168.159.198,63052,4840,TCP,54,64,1,1,65535,,0,0,0,0,,,,,
1885,2025-08-12 15:27:09.387821,192.168.159.241,192.168.159.198,63052,4840,TCP,116,64,1,1,65535,,0,0,0,0,,,,,
1886,2025-08-12 15:27:09.415810,192.168.159.198,192.168.159.241,4840,63052,TCP,82,64,1,63,8192,,0,0,0,0,,,,,
1887,2025-08-12 15:27:09.419185,192.168.159.241,192.168.159.198,63052,4840,TCP,187,64,63,29,65507,,0,0,0,0,,,,,
1888,2025-08-12 15:27:09.431809,192.168.159.198,192.168.159.241,4840,63052,TCP,190,64,29,196,8192,,0,0,0,0,,,,,
1889,2025-08-12 15:27:09.438472,192.168.159.241,192.168.159.198,63052,4840,TCP,355,64,196,165,65371,,0,0,0,0,,,,,
1890,2025-08-12 15:27:09.577739,192.168.159.198,192.168.159.241,4840,63052,TCP,60,64,165,497,8192,,0,0,0,0,,,,,
1891,2025-08-12 15:27:10.121807,192.168.159.198,192.168.159.241,4840,63052,TCP,1514,64,165,497,8192,,0,0,0,0,,,,,
1892,2025-08-12 15:27:10.121807,192.168.159.198,192.168.159.241,4840,63052,TCP,1514,64,1625,497,8192,,0,0,0,0,,,,,
1893,2025-08-12 15:27:10.121918,192.168.159.241,192.168.159.198,63052,4840,TCP,54,64,497,3085,65535,,0,0,0,0,,,,,
1894,2025-08-12 15:27:10.124713,192.168.159.198,192.168.159.241,4840,63052,TCP,1514,64,3085,497,8192,,0,0,0,0,,,,,
1895,2025-08-12 15:27:10.129769,192.168.159.198,192.168.159.241,4840,63052,TCP,1514,64,4545,497,8192,,0,0,0,0,,,,,
1896,2025-08-12 15:27:10.129828,192.168.159.241,192.168.159.198,63052,4840,TCP,54,64,497,6005,65535,,0,0,0,0,,,,,
1897,2025-08-12 15:27:10.132764,192.168.159.198,192.168.159.241,4840,63052,TCP,1514,64,6005,497,8192,,0,0,0,0,,,,,
1898,2025-08-12 15:27:10.132764,192.168.159.198,192.168.159.241,4840,63052,TCP,946,64,7465,497,8192,,0,0,0,0,,,,,
1899,2025-08-12 15:27:10.132798,192.168.159.241,192.168.159.198,63052,4840,TCP,54,64,497,8357,65535,,0,0,0,0,,,,,
1900,2025-08-12 15:27:10.144760,192.168.159.198,192.168.159.241,4840,63052,TCP,1514,64,8357,497,8192,,0,0,0,0,,,,,
1901,2025-08-12 15:27:10.145866,192.168.159.198,192.168.159.241,4840,63052,TCP,1430,64,9817,497,8192,,0,0,0,0,,,,,
1902,2025-08-12 15:27:10.145972,192.168.159.241,192.168.159.198,63052,4840,TCP,54,64,497,11193,65535,,0,0,0,0,,,,,
1903,2025-08-12 15:27:10.154229,192.168.159.241,192.168.159.198,63052,4840,TCP,171,64,497,11193,65535,,0,0,0,0,,,,,
1904,2025-08-12 15:27:10.171649,192.168.159.198,192.168.159.241,4840,63052,TCP,106,64,11193,614,8192,,0,0,0,0,,,,,
1905,2025-08-12 15:27:10.177899,192.168.159.241,192.168.159.198,63052,4840,TCP,7354,64,614,11245,65483,,0,0,0,0,,,,,
1906,2025-08-12 15:27:10.181653,192.168.159.198,192.168.159.241,4840,63052,TCP,60,64,11245,3534,6732,,0,0,0,0,,,,,
1907,2025-08-12 15:27:10.181725,192.168.159.241,192.168.159.198,63052,4840,TCP,1514,64,7914,11245,65483,,0,0,0,0,,,,,
