"No.","Time","Source","Destination","Protocol","Length","Info"
"2517","34.688219","192.168.159.198","192.168.159.241","OpcUa","946","UA Secure Conversation Message (Message fragment 52)"
"2518","34.688287","192.168.159.241","192.168.159.198","TCP","54","63071  >  4840 [ACK] Seq=497 Ack=8357 Win=65535 Len=0"
"2519","34.696287","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63071 [ACK] Seq=8357 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2520]"
"2520","34.699241","192.168.159.198","192.168.159.241","OpcUa","1430","UA Secure Conversation Message: CreateSessionResponse (Message Reassembled)"
"2521","34.699318","192.168.159.241","192.168.159.198","TCP","54","63071  >  4840 [ACK] Seq=497 Ack=11193 Win=65535 Len=0"
"2522","34.702954","LuxsharePrec_e3:7e:93","LLDP_Multicast","LLDP","143","LA/heiko LA/port-001 20 SysN=HEIKO SysD=LENOVO 82QG,Yoga 7 16IAP7,PF48WSD7 RTClass3 Port Status = OFF"
"2523","34.707087","192.168.159.241","192.168.159.198","OpcUa","171","UA Secure Conversation Message: ActivateSessionRequest"
"2524","34.724091","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2525","34.730423","192.168.159.241","192.168.159.198","OpcUa","197","UA Secure Conversation Message: ReadRequest"
"2526","34.858195","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2527","34.858330","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"2528","34.861731","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"2529","34.863977","192.168.159.241","192.168.159.198","TCP","66","63072  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2530","34.869065","192.168.159.198","192.168.159.241","TCP","60","4840  >  63071 [ACK] Seq=11297 Ack=878 Win=8135 Len=0"
"2531","34.876081","192.168.159.198","192.168.159.241","TCP","60","4840  >  63072 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"2532","34.876247","192.168.159.241","192.168.159.198","TCP","54","63072  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2533","34.878353","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
"2534","34.879043","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2535","34.879164","192.168.159.241","192.168.159.198","TCP","54","63071  >  4840 [RST, ACK] Seq=878 Ack=11349 Win=0 Len=0"
"2536","34.936087","192.168.159.198","192.168.159.241","OpcUa","82","Acknowledge message"
"2537","34.938868","192.168.159.241","192.168.159.198","OpcUa","187","OpenSecureChannel message"
"2538","34.955072","192.168.159.198","192.168.159.241","OpcUa","190","OpenSecureChannel message"
"2539","34.959811","192.168.159.241","192.168.159.198","OpcUa","355","UA Secure Conversation Message: CreateSessionRequest"
"2540","35.072190","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63072 [ACK] Seq=165 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2548]"
"2541","35.075060","Siemens_96:53:b5","LLDP_Multicast","LLDP","345","LA/S7-1200                   6ES7 212-1BE40-0XB0  S C-H3SE0080         4 V  4  4  0 LA/port-001.s7xb1200xbopc-uaxbsimulation9ee2 20 SysD=Siemens, SIMATIC S7, CPU-1200, 6ES7 212-1BE40-0XB0, HW: 4, FW: V.4.4.0, S C-H3SE0080 RTClass3 Port Status = OFF"
"2542","35.082201","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63072 [ACK] Seq=1625 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2548]"
"2543","35.082287","192.168.159.241","192.168.159.198","TCP","54","63072  >  4840 [ACK] Seq=497 Ack=3085 Win=65535 Len=0"
"2544","35.083187","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63072 [ACK] Seq=3085 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2548]"
"2545","35.085240","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63072 [ACK] Seq=4545 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2548]"
"2546","35.085310","192.168.159.241","192.168.159.198","TCP","54","63072  >  4840 [ACK] Seq=497 Ack=6005 Win=65535 Len=0"
"2547","35.093219","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63072 [ACK] Seq=6005 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2548]"
